,track_uri,artist_uri,genres
163,0TK2YIli7K1leLovkQiNik,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'pop', 'viral pop']"
164,1sXUWdKx03aP9Gmzft58rt,0ZED1XzwlLHW4ZaG4lOT6m,['pop']
165,3znQ9i61vfe2E7URHlOiyc,0HS00NN7MAfF59aJnfcxSO,['indonesian pop']
166,7N2nLFpfpkqJdpXIF0BVtM,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
167,5NACaWLnFkMDY5c4IUiqml,5s3rUylqooMyGsFE0rOFJT,['teen pop']
168,0W5oXFrxZNBTIS1eMW9Ofz,6LuN9FCkKOj5PcnpouEgny,"['pop', 'pop r&b']"
169,0FzaqX9OwVj9HMgaWwQOat,4D9foUQxTrsS0w2BeyCD16,"['k-pop', 'k-pop boy group']"
170,6NmigMZ7Yb0BLgc20LW7ui,3e7awlrlDSwF3iM0WBjGMp,"['girl group', 'pop', 'talent show', 'uk pop']"
171,7cOXUx0Q5PYafyNFriFajr,1EevBGfUh3RSQSGpluxgBm,"['american folk revival', 'folk', 'folk rock', 'singer-songwriter']"
172,6KiIUan0CiCAHS1NmKYxSd,5iVjA1Of8CIToe69eg3EUQ,[]
173,421eObjg0DTm2qajJl5OJm,20JZFwl6HVl6yg8a4H3ZqK,['pop']
174,4wBOtUHmMTGHCW92c0UGmo,7mFGOWJEkdlJBCXcJ5EWi9,"['korean pop', 'korean r&b']"
175,2YscTYeUJCcWhqqm5g1EPT,2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']"
176,0xaFw2zDYf1rIJWl2dXiSF,7tYKF4w9nC0nq9CsPZTHyP,"['pop', 'r&b', 'rap']"
177,6xqnXJbPNzsB4nvA2GdNy8,0sYpJ0nCC8AlDrZFeAA7ub,['k-pop']
178,2TIlqbIneP0ZY1O0EzYLlc,4GNC7GD6oZMSxPGyXy4MNB,"['pop', 'uk pop']"
179,5fiY3Ykhk6iKSbgqOWVc8I,41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group', 'pop']"
180,4ZLzoOkj0MPWrTLvooIuaa,4qIVPF0s71ZYW3qzhu5GkF,['sad lo-fi']
181,0RzT9tBLcQhofW2TNiHP9B,2dIgFjalVxs4ThymZ67YCE,"['k-pop', 'k-pop boy group', 'pop']"
182,7awomfKxYCpcqUlfZav6PD,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
183,2wPG4EcxvoPHEbjEaFJYtX,2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']"
184,7L8hkKW4hnemNfuOfEZcle,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']"
185,3KxYiSZ4n7ih45JtE2T518,0XATRDCYuuGhk0oE7C0o5G,"['k-pop', 'k-pop girl group']"
186,202lm9YX5WmAac83tOGlVn,1CoZyIx7UvdxT5c8UkMzHd,"['r&b', 'uk contemporary r&b']"
187,6cf0GCjuqAwlfFDrNLlhtw,5TnQc2N1iKlFjYD7CPGvFc,"['k-pop', 'k-pop boy group']"
188,4yLHe4OAlIFnHerGgHNXBm,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
189,0COqiPhxzoWICwFCS4eZcp,5nGIFgo0shDenQYSE0Sn7c,['alternative metal']
190,5wjmqUGN7vrAqFqDWrywlZ,4AK6F7OLvEQ5QYCBNiQWHq,"['boy band', 'pop', 'post-teen pop', 'talent show']"
191,3GYlZ7tbxLOxe6ewMNVTkw,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'electropop', 'pop']"
192,14pjnaIqkpReO5D0tHofAS,1wKpMkucynaTfG8lyPprYV,"['k-pop', 'k-pop boy group']"
193,6xGruZOHLs39ZbVccQTuPZ,3MZsBdqDrRTJihTHQrO6Dq,['viral pop']
194,2BHj31ufdEqVK5CkYDp9mA,4hUmsYcvD8C5zuVSP93jb1,['classic city pop']
195,0vB4Vd6PtkJSEnWsmqATnZ,4N8BwYTEC6XqykGvXXlmfv,"['jazz funk', 'jazz guitar', 'smooth jazz', 'soul jazz', 'yacht rock']"
196,12okmCNziVZkDIcEOx0SD9,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
197,0OkJtCF6yQIdK11ge58uXD,0C8ZW7ezQVs4URX5aX7Kqx,"['pop', 'post-teen pop']"
198,4INhJDL6o97nMVh4JVgzJf,2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']"
199,5awNIWVrh2ISfvPd5IUZNh,52zMTJCKluDlFwMQWmccY7,"['k-pop', 'k-pop girl group']"
200,1TQXIltqoZ5XXyfCbAeSQQ,4xnihxcoXWK3UqryOSnbw5,['alt z']
201,6RJxJpOaCZ4DamSgJaMoJ8,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
202,3i058E8uxTsYqJ5NWZzqSj,6KImCVD70vtIoJWnq6nGn3,['pop']
203,3Y2MvObZdPakD1X71KOxCD,3jTU1IOqkO7Mz4zdbXPose,['singer-songwriter pop']
204,0bFiLUmBmFX0aWyhVqIwiN,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
205,354DcqfZLjPzNZlSfR6o2R,59mjRp0i1B8oWSSMmGWJlJ,"['post-teen pop', 'teen pop']"
206,3a4VCqofc7Wf7cqfZYu2Ad,1khChLj7REGqjM043PlYyn,"['k-pop', 'k-pop boy group']"
